date,time,open,high,low,close,Volume
01-01-2021,09:15:00,13997.9,14019.5,13994.85,14015.45,0
01-01-2021,09:20:00,14016,14022.9,14006.4,14014.1,0
01-01-2021,09:25:00,14013.75,14019.6,14006.65,14018.2,0
01-01-2021,09:30:00,14019,14028.25,14018.25,14020.1,0
01-01-2021,09:35:00,14020.5,14020.6,14001.15,14017.85,0
01-01-2021,09:40:00,14017.55,14026.7,14016.9,14023.95,0
01-01-2021,09:45:00,14025.05,14032.5,14024.35,14030.65,0
01-01-2021,09:50:00,14030.95,14030.95,14022.5,14024.05,0
01-01-2021,09:55:00,14024.55,14033.4,14023.7,14032.4,0
01-01-2021,10:00:00,14032.5,14033.2,14024.1,14025.2,0
01-01-2021,10:05:00,14027,14027.45,14016.3,14020.65,0
01-01-2021,10:10:00,14020.05,14027.85,14019.65,14025.25,0
01-01-2021,10:15:00,14024.6,14026.1,14017.65,14019.45,0
01-01-2021,10:20:00,14020.35,14028.15,14019.65,14026.8,0
01-01-2021,10:25:00,14026.2,14036.3,14026.1,14033.6,0
01-01-2021,10:30:00,14033.35,14034.7,14026.15,14030.7,0
01-01-2021,10:35:00,14029.55,14030.8,14023.1,14024.85,0
01-01-2021,10:40:00,14023.95,14030.15,14023.85,14028.9,0
01-01-2021,10:45:00,14028.35,14037.2,14027.45,14029.55,0
01-01-2021,10:50:00,14028.9,14032.5,14028,14030.4,0
01-01-2021,10:55:00,14030.2,14033.45,14025.75,14025.75,0
01-01-2021,11:00:00,14026.2,14030.55,14026,14027.25,0
01-01-2021,11:05:00,14026.95,14031.9,14023.95,14024.25,0
01-01-2021,11:10:00,14024.65,14029.35,14023.6,14029.35,0
01-01-2021,11:15:00,14028.9,14033.95,14028.9,14032.1,0
01-01-2021,11:20:00,14031.75,14032.45,14026.15,14029.2,0
01-01-2021,11:25:00,14028.7,14032.05,14028.1,14030.45,0
01-01-2021,11:30:00,14030.7,14032.6,14029.35,14031.75,0
01-01-2021,11:35:00,14031.15,14034.25,14023.55,14024.8,0
01-01-2021,11:40:00,14024.15,14024.65,14018.65,14019.55,0
01-01-2021,11:45:00,14019,14025.95,14018.7,14023.5,0
01-01-2021,11:50:00,14022.5,14024.6,14014.8,14016.4,0
01-01-2021,11:55:00,14016,14016.3,14005.7,14008.1,0
